code,lat,long,elev,type,age,year,from.treeline
TR10,28.569083,84.685017,3602,tree,237,1774,below
TR11,28.568767,84.684983,3625,tree,182,1829,below
TR3,28.569333,84.685100,3584,tree,131,1880,below
TR23,28.567026,84.684361,3701,tree,123,1888,above
TR12,28.567949,84.684597,3652,tree,104,1907,below
TR1,28.569367,84.685083,3580,tree,99,1912,below
TR5,28.569217,84.685117,3594,tree,91,1920,below
TR2,28.569333,84.685117,3585,tree,71,1940,below
TR19,28.568200,84.684850,3652,tree,64,1947,below
TR9,28.567833,84.684632,3661,tree,55,1956,below
TR15,28.567490,84.684376,3668,tree,49,1962,below
TR16,28.567536,84.684572,3683,tree,40,1971,below
TR8,28.567100,84.684210,3691,tree,37,1974,below
TR18,28.566817,84.684069,3718,tree,35,1976,above
SP25,28.568300,84.684883,3648,sapling,31,1980,below
SP22,28.568483,84.684833,3634,sapling,31,1980,below
TR20,28.568024,84.684720,3655,tree,29,1982,below
SP13,28.568933,84.684917,3607,sapling,29,1982,below
SP10,28.569217,84.685000,3589,sapling,29,1982,below
SP29,28.568100,84.684600,3643,sapling,28,1983,below
SP15,28.568650,84.684850,3624,sapling,28,1983,below
TR13,28.568867,84.684883,3611,tree,27,1984,below
TR14,28.568683,84.684817,3620,tree,26,1985,below
SP14,28.568867,84.684867,3610,sapling,26,1985,below
TR6,28.567262,84.684405,3688,tree,25,1986,below
TR22,28.568081,84.684843,3658,tree,25,1986,below
TR21,28.568300,84.684800,3644,tree,25,1986,below
SP23,28.568500,84.684817,3633,sapling,25,1986,below
SP21,28.568483,84.684817,3634,sapling,23,1988,below
SP7,28.569250,84.685100,3590,sapling,23,1988,below
SP19,28.568600,84.684883,3631,sapling,22,1989,below
SP3,28.569367,84.685133,3583,sapling,22,1989,below
TR25,28.567040,84.684171,3696,tree,21,1990,above
SP24,28.568300,84.684800,3644,sapling,21,1990,below
SP16,28.568667,84.684817,3622,sapling,21,1990,below
SP33,28.565133,84.683617,3869,sapling,17,1994,above
SP20,28.568700,84.684883,3623,sapling,17,1994,below
SP28,28.568217,84.684750,3646,sapling,16,1995,below
SP17,28.568650,84.684883,3627,sapling,16,1995,below
SP18,28.568667,84.684867,3624,sapling,16,1995,below
TR7,28.569267,84.685100,3590,tree,16,1995,below
SP6,28.569250,84.685100,3590,sapling,16,1995,below
SP1,28.569333,84.685117,3585,sapling,16,1995,below
SP32,28.565433,84.683650,3836,sapling,14,1997,above
SP26,28.568200,84.684850,3652,sapling,14,1997,below
SP11,28.568933,84.684933,3608,sapling,14,1997,below
SP4,28.569283,84.685083,3588,sapling,13,1998,below
SP2,28.569350,84.685133,3584,sapling,13,1998,below
SP30,28.568033,84.684733,3655,sapling,12,1999,below
SP12,28.568933,84.684917,3607,sapling,12,1999,below
SP5,28.569283,84.685083,3588,sapling,12,1999,below
SP27,28.568217,84.684767,3646,sapling,11,2000,below
SP34,28.564500,84.683367,3929,sapling,9,2002,above
SD62,28.568933,84.684917,3607,seedling,8,2003,below
SP9,28.569200,84.685067,3594,sapling,8,2003,below
SD38,28.568900,84.684950,3612,seedling,7,2004,below
SD12,28.569200,84.685067,3594,seedling,7,2004,below
SP8,28.569217,84.685067,3593,sapling,7,2004,below
SD1,28.569350,84.685050,3581,seedling,7,2004,below
SD63,28.568833,84.684933,3617,seedling,6,2005,below
SD8,28.569333,84.685150,3587,seedling,6,2005,below
SD39,28.568933,84.684933,3608,seedling,5,2006,below
SD64,28.568817,84.684950,3619,seedling,4,2007,below
SD13,28.569267,84.685067,3589,seedling,4,2007,below
SD7,28.569333,84.685167,3587,seedling,4,2007,below
SD2,28.569350,84.685050,3581,seedling,4,2007,below
SD14,28.569283,84.685100,3589,seedling,3,2008,below
SD129,28.564500,84.683433,3929,seedling,1,2010,above
SD128,28.564867,84.683450,3896,seedling,1,2010,above
SD126,28.565283,84.683633,3853,seedling,1,2010,above
SD127,28.565383,84.683667,3841,seedling,1,2010,above
SD125,28.565667,84.683717,3817,seedling,1,2010,above
SD122,28.565767,84.683867,3806,seedling,1,2010,above
SD123,28.565767,84.683867,3806,seedling,1,2010,above
SD124,28.565767,84.683867,3806,seedling,1,2010,above
SD121,28.565900,84.683867,3795,seedling,1,2010,above
SD120,28.566533,84.683933,3744,seedling,1,2010,above
SD119,28.566683,84.684050,3729,seedling,1,2010,above
SD118,28.566988,84.684340,3701,seedling,1,2010,above
SD117,28.567705,84.684645,3673,seedling,1,2010,below
SD116,28.567395,84.684253,3672,seedling,1,2010,below
SD115,28.567667,84.684500,3667,seedling,1,2010,below
SD112,28.568150,84.684867,3656,seedling,1,2010,below
SD113,28.568150,84.684833,3655,seedling,1,2010,below
SD114,28.568150,84.684833,3655,seedling,1,2010,below
SD107,28.568283,84.684883,3649,seedling,1,2010,below
SD108,28.568300,84.684883,3648,seedling,1,2010,below
SD105,28.568367,84.684917,3647,seedling,1,2010,below
SD109,28.568200,84.684767,3647,seedling,1,2010,below
SD106,28.568383,84.684900,3646,seedling,1,2010,below
SD110,28.568300,84.684833,3646,seedling,1,2010,below
SD101,28.568483,84.684983,3644,seedling,1,2010,below
SD111,28.568117,84.684600,3642,seedling,1,2010,below
SD102,28.568483,84.684833,3634,seedling,1,2010,below
SD103,28.568483,84.684833,3634,seedling,1,2010,below
SD100,28.568500,84.684817,3633,seedling,1,2010,below
SD104,28.568467,84.684783,3632,seedling,1,2010,below
SD99,28.568533,84.684817,3630,seedling,1,2010,below
SD98,28.568617,84.684883,3629,seedling,1,2010,below
SD96,28.568700,84.684933,3626,seedling,1,2010,below
SD97,28.568700,84.684933,3626,seedling,1,2010,below
SD81,28.568633,84.684850,3625,seedling,1,2010,below
SD95,28.568717,84.684917,3625,seedling,1,2010,below
SD82,28.568633,84.684833,3624,seedling,1,2010,below
SD80,28.568667,84.684850,3623,seedling,1,2010,below
SD83,28.568667,84.684833,3622,seedling,1,2010,below
SD84,28.568667,84.684817,3622,seedling,1,2010,below
SD93,28.568717,84.684883,3622,seedling,1,2010,below
SD94,28.568717,84.684883,3622,seedling,1,2010,below
SD85,28.568683,84.684817,3620,seedling,1,2010,below
SD86,28.568683,84.684817,3620,seedling,1,2010,below
SD87,28.568700,84.684817,3619,seedling,1,2010,below
SD88,28.568700,84.684833,3619,seedling,1,2010,below
SD89,28.568700,84.684833,3619,seedling,1,2010,below
SD90,28.568700,84.684833,3619,seedling,1,2010,below
SD91,28.568717,84.684850,3619,seedling,1,2010,below
SD92,28.568717,84.684850,3619,seedling,1,2010,below
SD56,28.568917,84.685000,3615,seedling,1,2010,below
SD57,28.568917,84.685017,3615,seedling,1,2010,below
SD47,28.568967,84.685067,3614,seedling,1,2010,below
SD48,28.568967,84.685067,3614,seedling,1,2010,below
SD58,28.568933,84.685000,3613,seedling,1,2010,below
SD67,28.568867,84.684883,3611,seedling,1,2010,below
SD79,28.568883,84.684917,3611,seedling,1,2010,below
SD44,28.569033,84.685067,3610,seedling,1,2010,below
SD66,28.568867,84.684867,3610,seedling,1,2010,below
SD68,28.568883,84.684883,3610,seedling,1,2010,below
SD69,28.568883,84.684883,3610,seedling,1,2010,below
SD71,28.568883,84.684883,3610,seedling,1,2010,below
SD46,28.569050,84.685100,3609,seedling,1,2010,below
SD53,28.568950,84.684967,3609,seedling,1,2010,below
SD54,28.568950,84.684967,3609,seedling,1,2010,below
SD55,28.568950,84.684967,3609,seedling,1,2010,below
SD74,28.568933,84.684950,3609,seedling,1,2010,below
SD75,28.568933,84.684950,3609,seedling,1,2010,below
SD76,28.568933,84.684950,3609,seedling,1,2010,below
SD77,28.568933,84.684950,3609,seedling,1,2010,below
SD51,28.568933,84.684933,3608,seedling,1,2010,below
SD52,28.568950,84.684950,3608,seedling,1,2010,below
SD61,28.568933,84.684933,3608,seedling,1,2010,below
SD65,28.568917,84.684917,3608,seedling,1,2010,below
SD70,28.568900,84.684883,3608,seedling,1,2010,below
SD72,28.568900,84.684883,3608,seedling,1,2010,below
SD73,28.568933,84.684933,3608,seedling,1,2010,below
SD78,28.568933,84.684933,3608,seedling,1,2010,below
SD43,28.569050,84.685050,3607,seedling,1,2010,below
SD45,28.569050,84.685050,3607,seedling,1,2010,below
SD40,28.569050,84.685033,3606,seedling,1,2010,below
SD41,28.569050,84.685033,3606,seedling,1,2010,below
SD42,28.569050,84.685033,3606,seedling,1,2010,below
SD49,28.568950,84.684933,3606,seedling,1,2010,below
SD50,28.568950,84.684933,3606,seedling,1,2010,below
SD60,28.568983,84.684967,3606,seedling,1,2010,below
SD37,28.569050,84.685017,3605,seedling,1,2010,below
SD59,28.569017,84.684967,3603,seedling,1,2010,below
SD15,28.569233,84.685100,3592,seedling,1,2010,below
SD16,28.569233,84.685100,3592,seedling,1,2010,below
SD17,28.569233,84.685100,3592,seedling,1,2010,below
SD18,28.569233,84.685100,3592,seedling,1,2010,below
SD19,28.569233,84.685100,3592,seedling,1,2010,below
SD20,28.569200,84.685017,3592,seedling,1,2010,below
SD30,28.569267,84.685117,3591,seedling,1,2010,below
SD31,28.569267,84.685117,3591,seedling,1,2010,below
SD36,28.569217,84.685033,3591,seedling,1,2010,below
SD9,28.569283,84.685133,3590,seedling,1,2010,below
SD10,28.569283,84.685117,3590,seedling,1,2010,below
SD11,28.569283,84.685117,3590,seedling,1,2010,below
SD24,28.569267,84.685100,3590,seedling,1,2010,below
SD25,28.569267,84.685100,3590,seedling,1,2010,below
SD26,28.569250,84.685100,3590,seedling,1,2010,below
SD27,28.569267,84.685100,3590,seedling,1,2010,below
SD28,28.569267,84.685100,3590,seedling,1,2010,below
SD29,28.569267,84.685100,3590,seedling,1,2010,below
SD21,28.569217,84.685000,3589,seedling,1,2010,below
SD22,28.569267,84.685067,3589,seedling,1,2010,below
SD23,28.569267,84.685083,3589,seedling,1,2010,below
SD32,28.569267,84.685067,3589,seedling,1,2010,below
SD33,28.569267,84.685067,3589,seedling,1,2010,below
SD34,28.569267,84.685067,3589,seedling,1,2010,below
SD35,28.569267,84.685067,3589,seedling,1,2010,below
SD6,28.569333,84.685150,3587,seedling,1,2010,below
SD5,28.569333,84.685117,3585,seedling,1,2010,below
SD4,28.569350,84.685100,3583,seedling,1,2010,below
SD3,28.569367,84.685083,3580,seedling,1,2010,below
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
